"","Depth_group","Slope_group","Site","Aspect_descriptive","Acanthurus_auranticavus","Acanthurus_blochii","Acanthurus_dussumieri","Acanthurus_fowleri","Acanthurus_grammoptilus","Acanthurus_guttatus","Acanthurus_leucocheilus","Acanthurus_lineatus","Acanthurus_nigricans","Acanthurus_nigricauda","Acanthurus_nigrofuscus","Acanthurus_nigroris","Acanthurus_olivaceus","Acanthurus_pyroferus","Acanthurus_triostegus","Acanthurus_xanthopterus","Bolbometopon_muricatum","Centropyge_bicolor","Centropyge_bispinosa","Centropyge_flavissima","Centropyge_heraldi","Centropyge_loriculus","Centropyge_tibicen","Centropyge_vrolikii","Cetoscarus_ocellatus","Chlorurus_bleekeri","Chlorurus_capistratoides","Chlorurus_microrhinos","Chlorurus_sordidus","Chlorurus_spilurus","Ctenochaetus_binotatus","Ctenochaetus_cyanocheilus","Ctenochaetus_striatus","Hipposcarus_longiceps","Kyphosus_bigibbus","Kyphosus_cinerascens","Kyphosus_vaigiensis","Naso_brachycentron","Naso_lituratus","Naso_tonganus","Naso_unicornis","Scarus_altipinnis","Scarus_chameleon","Scarus_dimidiatus","Scarus_festivus","Scarus_flavipectoralis","Scarus_forsteni","Scarus_frenatus","Scarus_ghobban","Scarus_globiceps","Scarus_longipinnis","Scarus_niger","Scarus_oviceps","Scarus_psittacus","Scarus_rivulatus","Scarus_rubroviolaceus","Scarus_schlegeli","Scarus_spinus","Scarus_tricolor","Siganus_argenteus","Siganus_fuscescens","Siganus_punctatissimus","Siganus_punctatus","Siganus_stellatus","Zebrasoma_scopas","Zebrasoma_velifer"
"57","Shallow","Slope","HSUP-01","steep_slope",0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,7,7,0,8,7,0,0,0,0,5,1,0,2,0,0,0,0,13,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","Shallow","Slope","OSPR-02","gentle_slope",0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,66,10,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0
"59","Shallow","Wall","OSPR-01","wall",0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,1,0,2,0,2,10,0,29,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,11,2
"60","Shallow","Wall","OSPR-02","wall",0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Upper_mesophotic","Flat","MARI-01","flat",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"62","Upper_mesophotic","Slope","WILL-01","gentle_slope",0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","Lower_mesophotic","Slope","SDIA-02","gentle_slope",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,8,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"64","Shallow","Slope","ASHM-04","gentle_slope",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"65","Shallow","Slope","BETT-01","gentle_slope",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Shallow","Slope","EDIA-01","gentle_slope",0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
