"","Reef_2","Site","Transect","Depth_m","Habitat","Aspect_descriptive","Benthic_Complexity","cropper","browser","detritivore","excavator","scraper"
"139","Osprey","OSPR-01","T27",36.6,"outer_slope","moderate_slope",3,0.0929848338532882,0,0.069066840974935,0,0.170402049838477
"140","Osprey","OSPR-01","T28",28.8,"outer_slope","moderate_slope",3,0,0,0.26247289056473,0,0.731369157647691
"141","Osprey","OSPR-01","T29",25.5,"outer_slope","moderate_slope",3,0.0929915899478915,0,0,3.1839912278971,0.168511141416462
"142","Osprey","OSPR-01","T3",77.2,"outer_slope","steep_slope",3,0.0412029014225889,0,0,0,0
"143","Osprey","OSPR-01","T3",92.4,"outer_slope","wall",3,0,0,0,0,0
"144","Osprey","OSPR-01","T30",23.7,"outer_slope","moderate_slope",3,0,0,0.345117967454231,0,0.68540092614467
"145","Osprey","OSPR-01","T31",18.9,"outer_slope","steep_slope",3,0,0,0.0343951184741033,0,0
"146","Osprey","OSPR-01","T32",15.4,"outer_slope","steep_slope",3,0.182746328616836,0,0.167049249845515,0,1.405717195216
"147","Osprey","OSPR-01","T33",12.7,"outer_slope","moderate_slope",3,1.14342285372522,0,0.150878260433259,0,0
"148","Osprey","OSPR-01","T34",5.1,"outer_slope","moderate_slope",1,0.135830776215158,0.881026076589979,1.3452987631435,5.1187294649166,0
"149","Osprey","OSPR-01","T35",7.1,"outer_slope","moderate_slope",1,0.0560270131600823,0,0.925986654469042,3.00782621445448,0
"150","Osprey","OSPR-01","T36",9.1,"outer_slope","moderate_slope",1,0.113191978543042,0,0.277842336706441,0,0
"151","Osprey","OSPR-01","T4",74.4,"outer_slope","steep_slope",4,0,0,0,0,0
"152","Osprey","OSPR-01","T4",86.4,"outer_slope","steep_slope",3,0,0,0,0,0
"153","Osprey","OSPR-01","T5",82.3,"outer_slope","wall",4,0,0,0,0,0
"154","Osprey","OSPR-01","T5",84.5,"outer_slope","steep_slope",2,0,0,0,0,0
"155","Osprey","OSPR-01","T6",72.2,"outer_slope","steep_slope",4,0,0,0,0,0
"156","Osprey","OSPR-01","T6",82.5,"outer_slope","steep_slope",2,0,0,0,0,0
"157","Osprey","OSPR-01","T7",67.8,"outer_slope","steep_slope",4,0.122241968453449,0,0,0,0
"158","Osprey","OSPR-01","T7",96.3,"outer_slope","wall",2,0,0,0,0,3.15559786395857
"159","Osprey","OSPR-01","T8",65.8,"outer_slope","steep_slope",4,0.0381804157992621,0,0,0,0
"160","Osprey","OSPR-01","T8",91.3,"outer_slope","wall",2,0,0,0,0,0
"161","Osprey","OSPR-01","T9",63.2,"outer_slope","moderate_slope",3,0.0384892466671877,0,0,0,0
"162","Osprey","OSPR-01","T9",91.1,"outer_slope","wall",3,0,0,0,0,0
"163","Osprey","OSPR-02","T1",47.7,"outer_slope","steep_slope",3,0,0.393933309443036,0,0.849507386454588,2.15517930179648
"164","Osprey","OSPR-02","T1",97.2,"outer_slope","wall",5,0,0,0,0,0
"165","Osprey","OSPR-02","T10",12.7,"outer_slope","moderate_slope",2,0.24297655248128,0,0.680412476507717,8.11445073303931,20.6870190707924
"166","Osprey","OSPR-02","T10",68,"outer_slope","steep_slope",4,0,0,0,5.20284660447684,0
"167","Osprey","OSPR-02","T11",15.8,"outer_slope","steep_slope",2,0.0880396441853969,0,0.0232147573757417,2.60723244289104,1.04065717779554
"168","Osprey","OSPR-02","T11",64.2,"outer_slope","steep_slope",4,0.0108741281183141,0,0,0,0
"169","Osprey","OSPR-02","T12",18.2,"outer_slope","wall",2,0.185004554803535,0,0,0.484631491600862,0.242997331430756
"170","Osprey","OSPR-02","T12",61.4,"outer_slope","steep_slope",4,0,0,0.135757527338762,0,0
"171","Osprey","OSPR-02","T13",9.4,"outer_slope","moderate_slope",2,0.804460524945254,0,0.833557681249986,12.8158212509552,0
"172","Osprey","OSPR-02","T13",52.3,"outer_slope","steep_slope",5,0,0,0,0,0
"173","Osprey","OSPR-02","T14",7.3,"outer_slope","moderate_slope",2,1.14711669249916,2.04967642931001,3.16978846720788,0.741420087157195,4.5667194410476
"174","Osprey","OSPR-02","T14",54.6,"outer_slope","wall",3,0,0,0,0,0
"175","Osprey","OSPR-02","T15",6.1,"outer_slope","gentle_slope",1,12.1308237923426,0,7.16094303216653,0.97330814651772,13.365812353862
"176","Osprey","OSPR-02","T15",59.8,"outer_slope","wall",4,0,0,0,0,0
"177","Osprey","OSPR-02","T16",47.8,"outer_slope","moderate_slope",4,0.0197785206145714,0,0.199052822013482,0,0
"178","Osprey","OSPR-02","T17",44.4,"outer_slope","steep_slope",3,0,0,0,0,0
"179","Osprey","OSPR-02","T18",36.9,"outer_slope","steep_slope",3,0,0,0,0,0
"180","Osprey","OSPR-02","T19",33.2,"outer_slope","steep_slope",3,0.170235656782057,0,0.0754534363836981,0,2.31460712100494
"181","Osprey","OSPR-02","T2",44.8,"outer_slope","wall",4,0,0,0,0,0
"182","Osprey","OSPR-02","T2",87.6,"outer_slope","wall",5,0,0,0,0,0
"183","Osprey","OSPR-02","T20",27.7,"outer_slope","steep_slope",3,0,0.554876848583085,0.146753793911358,0,2.43952932260337
"184","Osprey","OSPR-02","T21",21.4,"outer_slope","moderate_slope",2,0.180567963186228,0,0.191835814849701,0,0
"185","Osprey","OSPR-02","T22",17.1,"outer_slope","wall",3,0.0371109545101491,0,0.0406448842719872,0.245298506661548,0
"186","Osprey","OSPR-02","T23",14.1,"outer_slope","steep_slope",2,0.0853989830964956,3.1241549403095,0.325140419610041,1.58153535362402,1.86598288057464
"187","Osprey","OSPR-02","T24",6.2,"outer_slope","moderate_slope",1,0.260262424635458,56.3403885084809,7.08473793578408,15.9283739173981,4.78493055514452
"188","Osprey","OSPR-02","T25",8.2,"outer_slope","moderate_slope",2,0.692962504882297,3.20281571292332,3.76326235076325,2.13132021044087,1.60839664513811
"189","Osprey","OSPR-02","T3",42.3,"outer_slope","moderate_slope",3,0.00976762324912938,0,0.288625356276329,4.26227536756013,1.78814271938525
"190","Osprey","OSPR-02","T3",94.1,"outer_slope","wall",4,0,0,0,0,0
"191","Osprey","OSPR-02","T4",32.2,"outer_slope","steep_slope",2,0.0312994582244514,0,0.0573371103907814,0,0
"192","Osprey","OSPR-02","T4",90.6,"outer_slope","wall",3,0,0,0,0,0
"193","Osprey","OSPR-02","T5",35,"outer_slope","steep_slope",3,0.072208626272819,0,0,0,0
"194","Osprey","OSPR-02","T5",84,"outer_slope","wall",3,0,0,0,0,0
"195","Osprey","OSPR-02","T6",38.1,"outer_slope","steep_slope",3,0.241798129221252,0,0,0,0.772533130566575
"196","Osprey","OSPR-02","T6",80.6,"outer_slope","steep_slope",4,0.215477721021436,0,0,0,0
"197","Osprey","OSPR-02","T7",28,"outer_slope","steep_slope",2,0,0,0.285749590835951,0,0
"198","Osprey","OSPR-02","T7",71.6,"outer_slope","steep_slope",5,0,0,0.177031211467209,0,0
"199","Osprey","OSPR-02","T8",24.9,"outer_slope","steep_slope",3,0,0.343446862352102,0.137484655353458,0,3.96868799305346
"200","Osprey","OSPR-02","T8",74.4,"outer_slope","steep_slope",4,0,0,0,0,0
"201","Osprey","OSPR-02","T9",23.1,"outer_slope","wall",3,0.356939295040683,0,0.0722333393599192,0,2.51463093572386
"202","Osprey","OSPR-02","T9",77.2,"outer_slope","steep_slope",4,0,0,0,0,0
"203","Osprey","OSPR-03","T1",55.6,"outer_slope","wall",3,0,0,0.053728374168733,0,0
"204","Osprey","OSPR-03","T10",18.1,"outer_slope","steep_slope",3,0.209276237554572,0,0,0.641796155629054,0
"205","Osprey","OSPR-03","T11",8.3,"outer_slope","moderate_slope",1,0.880575488643509,0.82666188507129,4.35641139599014,0.716818543571905,0.849865749574311
"206","Osprey","OSPR-03","T12",6.4,"outer_slope","moderate_slope",1,2.21822285763071,0,10.324619840196,7.60332198983808,4.837519506359
"207","Osprey","OSPR-03","T13",96.5,"outer_slope","wall",3,0,0,0,0,1.79454574265979
"208","Osprey","OSPR-03","T14",91,"outer_slope","wall",3,0,0,0,0,0
"209","Osprey","OSPR-03","T15",81.1,"outer_slope","steep_slope",3,0,0,0,0,0
"210","Osprey","OSPR-03","T16",81.1,"outer_slope","steep_slope",3,0.0668839479288728,0,0,0,0
"211","Osprey","OSPR-03","T17",87.4,"outer_slope","steep_slope",3,0,0,0,0,0
"212","Osprey","OSPR-03","T18",75.6,"outer_slope","steep_slope",3,0,0,0,0,0
"213","Osprey","OSPR-03","T19",78.1,"outer_slope","steep_slope",3,0.0354901613183517,0,0,0,0
"214","Osprey","OSPR-03","T2",55.7,"outer_slope","steep_slope",3,0.0256840130272891,0,0,0,0
"215","Osprey","OSPR-03","T20",70.5,"outer_slope","steep_slope",3,0,0,0,0,0
"216","Osprey","OSPR-03","T21",60.6,"outer_slope","wall",3,2.77593573448895,0,0,0,0
"217","Osprey","OSPR-03","T22",64.9,"outer_slope","wall",3,0,0,0,7.06947019703335,0.193773653564497
"218","Osprey","OSPR-03","T23",68.7,"outer_slope","steep_slope",3,0,0,0,0,0
"219","Osprey","OSPR-03","T24",88.2,"outer_slope","wall",3,0,0,0,0,0
"220","Osprey","OSPR-03","T25",78.9,"outer_slope","steep_slope",3,0,0,0,0,0
"221","Osprey","OSPR-03","T26",53.6,"outer_slope","wall",3,0,0,0,0,0
"222","Osprey","OSPR-03","T27",51,"outer_slope","wall",4,0,0,0,0,0
"223","Osprey","OSPR-03","T3",45.8,"outer_slope","wall",3,0.016479956816691,0,0,0,0
"224","Osprey","OSPR-03","T4",47.4,"outer_slope","wall",3,0,0,0,0,0
"225","Osprey","OSPR-03","T5",37.5,"outer_slope","steep_slope",4,0,0.651055370830269,0,0,0
"226","Osprey","OSPR-03","T6",34.3,"outer_slope","steep_slope",4,0,0,0.0979411378995595,0,0.153737814198475
"227","Osprey","OSPR-03","T7",28.2,"outer_slope","wall",4,0.314721820900168,0,0.37650171426033,0,0
"228","Osprey","OSPR-03","T8",24.4,"outer_slope","steep_slope",4,0.166339171513803,0,0.0820223986610532,0,0
"229","Osprey","OSPR-03","T9",14.5,"outer_slope","wall",2,0.254712709665769,0,0.116547137008387,0.338014483424245,0
"230","Saumarez","SAUM-01","T1",29.6,"inner_reef","flat",1,0,0,0,0,0
"231","Saumarez","SAUM-01","T2",29.6,"inner_reef","flat",1,0.28934593113989,0,0,0,0
"232","Saumarez","SAUM-01","T3",29.8,"inner_reef","flat",1,0,0,0,0,0
"233","Saumarez","SAUM-01","T4",29.6,"inner_reef","flat",0,2.73643316703845,0,0,0,0
"234","Saumarez","SAUM-01","T5",29.5,"inner_reef","flat",1,13.4565045690042,5.38597780392011,0,0,0
"235","Saumarez","SAUM-01","T6",29.9,"inner_reef","flat",1,5.4343583255657,0,0,0,0
"236","Saumarez","SAUM-02","T2",20.4,"lagoon","flat",0,0,0,0,0,0
"237","Saumarez","SAUM-02","T3",21.1,"lagoon","flat",1,0,0,0,0,0
"238","Saumarez","SAUM-02","T4",21.5,"lagoon","flat",1,0,0,0,0,0
"239","Saumarez","SAUM-02","T5",22.2,"lagoon","flat",0,0,0,0,0,0
"240","Saumarez","SAUM-02","T6",23.1,"lagoon","flat",0,0,0,0,0,0
"241","South Flinders","FLIN-01","T1",35.6,"outer_slope","steep_slope",4,0.732796719342152,1.41558348534055,0.139528952812418,0,0
"242","South Flinders","FLIN-01","T2",37.1,"outer_slope","wall",4,0,0,0.116953749006937,0.844068927441801,0.687620609862917
"243","South Flinders","FLIN-01","T3",42.1,"outer_slope","wall",3,0.115151154363667,0,0,0,0
"244","South Flinders","FLIN-01","T4",35.2,"outer_slope","wall",3,0.150692456159586,0,0.0872132440149168,0,0
"245","South Flinders","FLIN-01","T5",45.4,"outer_slope","wall",3,0,0,0,0,0
"246","South Flinders","FLIN-01","T6",34.3,"outer_slope","steep_slope",3,0.0823522343696877,0,0,0,0
"247","South Flinders","FLIN-01","T7",45.2,"outer_slope","wall",4,0,0,0,4.60985265129969,0
"248","West Herald","HERA-01","T1",34.3,"passage","flat",3,0,0,0,0,0
"249","West Herald","HERA-01","T2",35.3,"passage","flat",2,0,0,0.670425741684008,0,0
"250","West Herald","HERA-01","T3",37.6,"passage","flat",1,0,0,0,0,0
"251","West Herald","HERA-01","T4",43.5,"passage","gentle_slope",2,0.487445011392136,0,0.0885181091853372,0,0
